camera,ros_frame_count,charuco_id,paper_x_gt_mm,paper_y_gt_mm,u_undist_px,v_undist_px,detected_aruco_markers,detected_charuco_corners
ihawk2,21,9,-66.0,33.0,292.1311340332031,327.2596130371094,28,38
ihawk2,21,17,-66.0,8.0,292.8117370605469,312.22784423828125,28,38
ihawk2,21,33,-66.0,-42.0,293.7146911621094,286.5614318847656,28,38
ihawk1,21,17,-66.0,8.0,291.1205749511719,244.2828369140625,30,46
ihawk1,21,22,59.0,8.0,343.0975646972656,288.2152404785156,30,46
ihawk2,22,35,-16.0,-42.0,329.91754150390625,286.6235656738281,29,42
ihawk1,22,17,-66.0,8.0,291.14300537109375,244.26934814453125,28,43
ihawk1,22,22,59.0,8.0,343.0877990722656,288.2023620605469,28,43
ihawk2,23,9,-66.0,33.0,292.12701416015625,327.2554016113281,31,48
ihawk2,23,17,-66.0,8.0,292.8125,312.2284851074219,31,48
ihawk2,23,35,-16.0,-42.0,329.98187255859375,286.6097106933594,31,48
ihawk1,23,17,-66.0,8.0,291.1434326171875,244.2695770263672,28,43
ihawk2,24,35,-16.0,-42.0,329.87060546875,286.65203857421875,29,42
ihawk1,24,17,-66.0,8.0,291.1194763183594,244.2802734375,30,46
ihawk2,25,35,-16.0,-42.0,329.9218444824219,286.6481018066406,30,44
ihawk1,25,17,-66.0,8.0,291.1201171875,244.2830810546875,30,46
ihawk2,26,35,-16.0,-42.0,330.1243896484375,286.544189453125,30,44
ihawk2,27,35,-16.0,-42.0,329.8963928222656,286.6605224609375,30,44
ihawk2,28,35,-16.0,-42.0,330.27349853515625,286.4382629394531,29,42
ihawk1,28,17,-66.0,8.0,291.1184997558594,244.2825164794922,30,46
ihawk1,29,17,-66.0,8.0,291.1417236328125,244.26910400390625,30,46
ihawk2,31,9,-66.0,33.0,292.1326599121094,327.2476806640625,30,44
ihawk2,31,17,-66.0,8.0,292.76226806640625,312.2909240722656,30,44
ihawk2,32,9,-66.0,33.0,292.1326599121094,327.2476806640625,28,38
ihawk2,32,17,-66.0,8.0,292.794921875,312.22900390625,28,38
ihawk2,33,9,-66.0,33.0,292.1326599121094,327.2476806640625,29,40
ihawk2,33,17,-66.0,8.0,292.7651062011719,312.28497314453125,29,40
