resolution_id,width_px,height_px,run_id,camera_id,model,height_gt_mm,xy_rmse_low_mm,xy_rmse_native_mm,downsampling_penalty_mm
r480x300,480,300,20260808_151001,ihawk1,PnP,15.0,9.395306605556629,6.201199960054956,3.1941066455016722
r480x300,480,300,20260808_151001,ihawk1,PnP,20.0,11.627308547737293,9.724135876574762,1.9031726711625314
r480x300,480,300,20260808_151001,ihawk1,PnP,30.0,8.438024709774657,8.761034706174286,-0.32300999639962846
r480x300,480,300,20260808_151001,ihawk1,PnP,35.0,12.098116909278298,8.65026581055221,3.4478510987260886
r480x300,480,300,20260808_151001,ihawk1,PnP,40.0,11.570011076528155,8.996692446821513,2.573318629706643
r480x300,480,300,20260808_151001,ihawk1,PnP,50.0,15.918354137439476,10.480496144991003,5.437857992448473
r480x300,480,300,20260808_151001,ihawk2,Affine,0.0,12.684751638230193,12.681638616179459,0.003113022050733605
r480x300,480,300,20260808_151001,ihawk2,Affine,5.0,13.7450465878985,13.79541905695013,-0.05037246905163073
r480x300,480,300,20260808_151001,ihawk2,Affine,10.0,15.758220126214438,15.821760998267608,-0.06354087205317072
r480x300,480,300,20260808_151001,ihawk2,Affine,15.0,21.005348284154095,21.07335633393816,-0.0680080497840656
r480x300,480,300,20260808_151001,ihawk2,Affine,20.0,24.020077177022348,24.090866145559463,-0.07078896853711569
r480x300,480,300,20260808_151001,ihawk2,Affine,25.0,27.953425571538048,27.75608504468979,0.19734052684825798
r480x300,480,300,20260808_151001,ihawk2,Affine,30.0,33.63917665744038,33.55275333400889,0.08642332343148951
r480x300,480,300,20260808_151001,ihawk2,Affine,35.0,38.42592130452147,38.07477688088132,0.3511444236401431
r480x300,480,300,20260808_151001,ihawk2,Affine,40.0,42.954321495903784,43.23868807316125,-0.2843665772574653
r480x300,480,300,20260808_151001,ihawk2,Affine,45.0,50.22290596610245,50.04298814543358,0.1799178206688694
r480x300,480,300,20260808_151001,ihawk2,Affine,50.0,53.611963926486915,53.449605893105556,0.16235803338135923
r480x300,480,300,20260808_151001,ihawk2,Homography,0.0,0.0512072889088819,0.05294833624144706,-0.0017410473325651654
r480x300,480,300,20260808_151001,ihawk2,Homography,5.0,5.800064880557152,5.88177989087446,-0.08171501031730788
r480x300,480,300,20260808_151001,ihawk2,Homography,10.0,10.128136608443938,10.25080051154501,-0.12266390310107234
r480x300,480,300,20260808_151001,ihawk2,Homography,15.0,18.301719808698817,18.37330280099933,-0.07158299230051313
r480x300,480,300,20260808_151001,ihawk2,Homography,20.0,22.421301634493457,22.511711656233413,-0.09041002173995594
r480x300,480,300,20260808_151001,ihawk2,Homography,25.0,27.705127176004236,27.285310608716525,0.419816567287711
r480x300,480,300,20260808_151001,ihawk2,Homography,30.0,35.511990837686774,34.76348917316674,0.7485016645200346
