resolution_id,width_px,height_px,run_id,camera_id,model,height_gt_mm,n_expected_markers,n_valid_markers,complete_five_marker_metric,xy_rmse_mm,xy_mean_mm,xy_median_mm,xy_p95_mm,xy_max_mm,pnp_z_rmse_mm
r640x400,640,400,20260808_141232,ihawk2,Homography,35.0,5,5,1,44.35863365560312,43.82964541072898,41.3144473957727,52.7037371479991,53.30717729942165,
r640x400,640,400,20260808_141232,ihawk2,Homography,40.0,5,5,1,51.09389823520403,50.476027933235656,47.98967668603353,60.772492717871714,61.53882481551188,
r640x400,640,400,20260808_141232,ihawk2,Homography,45.0,5,5,1,58.44369040005288,57.654758024577134,54.56410167502159,70.36450944086775,71.64475716259727,
r640x400,640,400,20260808_141232,ihawk2,Homography,50.0,5,5,1,67.1738818026758,66.37818290199255,63.33289032937168,79.37283727834148,80.00888672998022,
r640x400,640,400,20260808_141232,ihawk2,PnP,0.0,5,5,1,3.2083402385721373,3.0270374602455186,2.844392542182571,4.571411531929697,4.982320064845913,2.920598402307787
r640x400,640,400,20260808_141232,ihawk2,PnP,5.0,5,5,1,5.868955471829554,5.858959293378969,5.768903974818599,6.331341747807197,6.3955047616130205,3.2681807848617734
r640x400,640,400,20260808_141232,ihawk2,PnP,10.0,5,5,1,4.5170532702417905,4.4080229225865795,4.21311217531014,5.796003961986109,5.998540738463376,3.0066983396083584
r640x400,640,400,20260808_141232,ihawk2,PnP,15.0,5,5,1,5.844025810220557,5.478690681416803,5.035684946395294,8.410553511535428,8.937317799631868,3.832344027390397
r640x400,640,400,20260808_141232,ihawk2,PnP,20.0,5,5,1,5.580009023827979,5.445244311627574,5.225193118444982,6.98129721135399,7.098598961155331,3.70288116319901
r640x400,640,400,20260808_141232,ihawk2,PnP,25.0,5,5,1,4.5971559314390005,4.251111371066457,3.3590812451412937,6.813199509213315,7.197643896195971,3.4245067176318735
r640x400,640,400,20260808_141232,ihawk2,PnP,30.0,5,0,0,,,,,,
r640x400,640,400,20260808_141232,ihawk2,PnP,35.0,5,5,1,5.132994278854871,5.0003227858008215,4.752553248726704,6.351553327639216,6.393978631746236,4.0161826779511935
r640x400,640,400,20260808_141232,ihawk2,PnP,40.0,5,5,1,4.672866037243472,4.614588222760943,5.068329837176671,5.113464147863288,5.1159706551302495,3.5905562109749765
r640x400,640,400,20260808_141232,ihawk2,PnP,45.0,5,5,1,13.537660799501941,10.34400120310686,6.039720406725326,23.74855303488162,27.657097710308378,8.471761101222425
r640x400,640,400,20260808_141232,ihawk2,PnP,50.0,5,5,1,4.9442259242506035,4.830060143060654,4.994402616362575,5.948497911483338,5.948642913590753,3.4579128189600787
r640x400,640,400,20260808_145501,ihawk1,Affine,0.0,5,5,1,11.439351828298681,11.13634011847314,10.783183040986621,14.917544343859893,15.67899625011375,
r640x400,640,400,20260808_145501,ihawk1,Affine,5.0,5,5,1,13.584255685930708,12.470099387990786,14.849453014606128,18.067360414540683,18.594181773555125,
r640x400,640,400,20260808_145501,ihawk1,Affine,10.0,5,5,1,17.008080462907508,14.97351183729403,19.321442245943643,23.024195467541805,23.393241091837627,
r640x400,640,400,20260808_145501,ihawk1,Affine,15.0,5,5,1,23.434205356625775,21.136395940640035,27.390353361605072,30.672986726532024,31.097550059355463,
r640x400,640,400,20260808_145501,ihawk1,Affine,20.0,5,5,1,29.941119616925967,27.889009913510005,34.0668641237335,37.89100262448932,38.17586585300977,
r640x400,640,400,20260808_145501,ihawk1,Affine,25.0,5,5,1,37.05896783972897,35.31328445314549,42.06620589995059,45.046003459713,45.31971908989964,
r640x400,640,400,20260808_145501,ihawk1,Affine,30.0,5,5,1,43.42966260391977,41.89477646451415,48.26932892137357,51.52794914931601,51.52892509995831,
r640x400,640,400,20260808_145501,ihawk1,Affine,35.0,5,5,1,49.62088774864963,48.034440491154804,54.658935159604496,58.22067067159711,58.539739005520914,
r640x400,640,400,20260808_145501,ihawk1,Affine,40.0,5,5,1,56.32224520715046,55.09586961427542,60.586235261293396,64.86504744330688,64.8852795258536,
