resolution_id,width_px,height_px,camera_id,height_gt_mm,n_marker_conditions,n_complete_marker_conditions,center_repeatability_rms_median_native_equiv_px,center_repeatability_rms_p95_native_equiv_px,corner_repeatability_rms_median_native_equiv_px,corner_repeatability_rms_p95_native_equiv_px,corner_repeatability_fraction_median,center_drift_from_native_median_px,center_drift_from_native_p95_px,corner_drift_from_native_median_px,corner_drift_from_native_p95_px
r240x150,240,150,ihawk2,25.0,25,18,0.010678683406273166,0.027626619272150175,0.02328680558033333,0.05217630214714391,0.0007163831096931212,0.8846831908720971,2.0865641735072407,1.9541931642325832,3.3830095971979035
r240x150,240,150,ihawk2,30.0,20,14,0.009859259811587803,0.03532848162886279,0.026505759748835657,0.07365207163107235,0.0009259624699347797,1.3685920657660224,2.0951598473326443,2.2908496847681166,3.4457610836202446
r240x150,240,150,ihawk2,35.0,25,16,0.016693296394240987,0.037458071048716936,0.026678752393784477,0.07054936291654165,0.0007853587281580897,1.1695359033823531,2.335518191755714,2.1786360984078046,3.754504111567749
r240x150,240,150,ihawk2,40.0,25,19,0.013460969307528848,0.07680361166048896,0.03169250919097557,0.14918170512619836,0.0008219907091021245,1.0563113786218463,2.0530976692757013,2.15177053843039,3.388860773475708
r240x150,240,150,ihawk2,45.0,25,16,0.013949268067782638,0.021585601536030043,0.029084719797390503,0.04340889154253802,0.0008010863363336094,1.3243674014266258,2.3135316574334435,2.6512469366475084,3.697660201486041
r240x150,240,150,ihawk2,50.0,25,18,0.014027064253627219,0.16555803016412263,0.02432890512783764,0.33163203342750236,0.000704974720525146,0.7781554753125206,2.2455097722329116,1.740044123485138,3.750460841310382
r240x150,240,150,ihawk2,ALL,270,191,0.011342523406166267,0.042619309886101076,0.024095001729139382,0.07740651273585303,0.0007064120133018443,0.6961586390748565,2.2779262616557663,1.5624313285260947,3.6445649529408106
r160x100,160,100,ihawk1,0.0,25,2,0.017749332395088295,0.024461571678679975,0.03879493959770726,0.05455456221929623,0.0014787340228717793,1.0107476353470877,1.0276804092445313,2.126218139959092,2.2370180444190244
r160x100,160,100,ihawk1,5.0,25,2,0.02255371707684134,0.02471334142592839,0.03461931908618981,0.03877080507775768,0.000997885917859187,1.4810974529946228,1.8470900127468215,3.1372089336164897,4.06647447504688
r160x100,160,100,ihawk1,10.0,25,1,0.6204795183528287,0.6204795183528287,1.2372015450078417,1.2372015450078417,0.05071635487020736,0.28107405893118514,0.28107405893118514,3.210916849253618,3.210916849253618
r160x100,160,100,ihawk1,15.0,25,3,0.018734611368137595,0.02883434457311869,0.03040299585071028,0.049525486202913284,0.0007812992862663314,3.577396378306539,3.6196047827702227,5.534456862435575,6.076944146586898
r160x100,160,100,ihawk1,20.0,25,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
r160x100,160,100,ihawk1,25.0,25,2,0.029362501770382368,0.04359535512180543,0.07606927188212355,0.12330720535888752,0.002280975298796411,1.9790572635258892,2.939618657276377,4.103996896389141,6.03117335605454
r160x100,160,100,ihawk1,30.0,20,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
r160x100,160,100,ihawk1,35.0,25,2,0.032233655770312904,0.03650465771161196,0.07033411558923494,0.0898162247554238,0.0019140728025034272,5.283269180153563,5.96126987302309,6.817244914201574,7.761486342282287
r160x100,160,100,ihawk1,40.0,25,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
r160x100,160,100,ihawk1,45.0,25,2,0.017603766875418723,0.021459138403822235,0.036166961004640084,0.04321885497288665,0.0009789533000293628,5.9130034961008935,6.2729250004695825,7.229247758654198,7.3784744916258775
r160x100,160,100,ihawk1,50.0,25,2,0.01729134530680127,0.019714126258738168,0.03526251366322389,0.03560931448369903,0.0009306271753515428,4.923801495025998,5.599097800967024,6.456414193141573,7.134802820487088
r160x100,160,100,ihawk1,ALL,270,16,0.021020823742416955,0.18900246704217982,0.03743996460361963,0.4057172847275231,0.0010393766934126381,3.3118720396664854,6.105681532189637,5.618552957041064,7.512891943928751
r160x100,160,100,ihawk2,0.0,25,9,0.011224171351766423,0.029831407591106827,0.02623614963832477,0.055743395179097655,0.0007066324990732027,0.6681537582845679,1.7269554035735635,1.5794650370480308,3.7524050833568916
r160x100,160,100,ihawk2,5.0,25,9,0.014819761043556359,0.19255268470500028,0.028730657909550605,0.38128314873489744,0.0007791100620551977,0.8844834461201069,2.071051343562257,1.9970709236442545,4.265070132593647
r160x100,160,100,ihawk2,10.0,25,7,0.009362559292831103,0.04316092360400862,0.020309510021146008,0.06906639569082916,0.0007150111876020914,0.7194552661578534,3.065386679619041,1.9702886015736303,4.777373224723999
r160x100,160,100,ihawk2,15.0,25,8,0.017360918982182887,0.05435259147003549,0.035383662959559525,0.10255946454843534,0.0009138694800946651,0.7228779587353173,1.9395439069002465,1.8963507143968918,3.5603420605333174
r160x100,160,100,ihawk2,20.0,25,9,0.014346724739194676,0.030287321667596685,0.027746385748092923,0.059516680813754615,0.0007618800477976729,0.8143434345254728,3.2990789525395114,2.123258457217125,5.275175656492202
r160x100,160,100,ihawk2,25.0,25,10,0.012561030777461285,0.14250644216976133,0.03001212669836858,0.2739678536285248,0.0007453293216836679,2.132156602697476,3.4692983711472736,3.9592802169851855,6.294840512953801
r160x100,160,100,ihawk2,30.0,20,1,0.026861304735159675,0.026861304735159675,0.04677878324293146,0.04677878324293146,0.0011448716417444922,1.6068737117723928,1.6068737117723928,3.733358727413146,3.733358727413146
r160x100,160,100,ihawk2,35.0,25,6,0.02144761107329584,0.11011756678885987,0.04237410414123044,0.21034148493916782,0.0010217706397133938,2.3948110458947003,3.175999907355843,4.537673667191145,5.396337885488957
r160x100,160,100,ihawk2,40.0,25,9,0.010064169758928248,0.02044963493667686,0.022276461717333124,0.04126406028051308,0.0005722328933056329,1.0914876416824266,2.2864835844040305,3.0430321172263852,4.730237316477846
r160x100,160,100,ihawk2,45.0,25,6,0.02188912381522728,0.029902231038095514,0.04050364176650277,0.05679438370250439,0.001031692670340775,1.3730717964743255,2.6037867947804694,2.79767630668594,4.421870166324863
r160x100,160,100,ihawk2,50.0,25,5,0.014740595729441098,0.02859405870415256,0.027909156208053742,0.046194778390821305,0.0007301817263111815,0.7325082389855327,3.464915774384836,2.309397695282505,6.494476934804236
r160x100,160,100,ihawk2,ALL,270,79,0.014346724739194676,0.06770821088132498,0.027909156208053742,0.1292346590662683,0.0007791100620551977,1.009095819834623,3.3433557922088686,2.3128798521848304,5.6540171529299155
