resolution_id,width_px,height_px,scale_x,scale_y,run_id,camera_id,height_gt_mm,frame_index,marker_id,board_position,marker_gt_x_mm,marker_gt_y_mm,qc_excluded,detected,center_u_px,center_v_px,center_u_native_equiv_px,center_v_native_equiv_px,center_drift_from_native_px,corner_rmse_drift_from_native_px,corner0_u_px,corner0_v_px,corner1_u_px,corner1_v_px,corner2_u_px,corner2_v_px,corner3_u_px,corner3_v_px
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,1,0,TL,-70.0,113.5,0,1,110.37729454040527,113.38038063049316,221.25458908081055,227.26076126098633,0.6510673638887599,1.6288041163296982,100.96897888183594,112.42060852050781,112.72843933105469,108.13487243652344,120.9032974243164,113.8717041015625,106.90846252441406,119.0943374633789
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,1,1,TR,70.0,113.5,0,0,,,,,,,,,,,,,,
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,1,2,BL,-70.0,-113.5,0,1,149.81494140625,152.27082443237305,300.1298828125,305.0416488647461,0.24987601324668704,0.5378342739207663,136.3989715576172,150.5688018798828,151.97354125976562,143.30990600585938,163.49386596679688,153.162109375,147.3933868408203,162.04248046875
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,1,3,BR,70.0,-113.5,0,1,189.3208351135254,132.1811580657959,379.1416702270508,264.8623161315918,0.27027200253219996,0.8414202809782714,177.45396423339844,130.7664794921875,188.63441467285156,125.25048065185547,201.61529541015625,133.07540893554688,189.5796661376953,139.63226318359375
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,1,4,C,0.0,0.0,0,1,147.52438735961914,121.9636173248291,295.5487747192383,244.4272346496582,0.2969300887217153,0.6520937148930689,136.59228515625,120.74134826660156,149.30006408691406,116.14128112792969,158.48814392089844,122.8912582397461,145.71705627441406,128.08058166503906
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,1,0,TL,-70.0,113.5,0,0,,,,,,,,,,,,,,
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,1,1,TR,70.0,113.5,0,0,,,,,,,,,,,,,,
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,1,2,BL,-70.0,-113.5,0,1,112.12933731079102,113.97033500671387,299.84489949544275,304.7542266845703,0.24623063012238708,1.114998795891062,102.2069320678711,112.7804946899414,113.59939575195312,107.50637817382812,122.26591491699219,114.5888900756836,110.44510650634766,121.00557708740234
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,1,3,BR,70.0,-113.5,0,1,142.09399795532227,98.72168350219727,379.7506612141927,264.0911560058594,0.7157212056440037,1.717461192416486,133.2843475341797,98.13993072509766,141.6112060546875,93.38391876220703,150.6798858642578,99.44005584716797,142.80055236816406,103.9228286743164
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,1,4,C,0.0,0.0,0,1,110.4176139831543,91.45700645446777,295.2803039550781,244.7186838785807,0.21719599764140474,1.1455999061157265,102.43814849853516,90.43285369873047,111.2700424194336,87.04763793945312,118.69477844238281,91.95491027832031,109.26748657226562,96.39262390136719
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,1,0,TL,-70.0,113.5,0,0,,,,,,,,,,,,,,
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,1,1,TR,70.0,113.5,0,0,,,,,,,,,,,,,,
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,1,2,BL,-70.0,-113.5,0,1,74.5565128326416,75.88643455505371,299.7260513305664,305.04573822021484,0.43983481924112483,1.2471258574709243,68.00792694091797,75.1806869506836,75.27119445800781,71.3167724609375,81.42772674560547,76.25765991210938,73.51920318603516,80.79061889648438
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,1,3,BR,70.0,-113.5,0,0,,,,,,,,,,,,,,
