resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,frame_index,qc_excluded,n_expected_markers_detected,complete_five_marker_detection,resize_latency_median_ms_excluded_from_pipeline,resize_latency_p95_ms_excluded_from_pipeline,detection_latency_median_ms,detection_latency_p95_ms,detection_timing_repeats
r240x150,240,150,20260808_131913,ihawk2,0.0,3,0,4,0,0.4162,0.42622,1.2199,1.24364,5
r160x100,160,100,20260808_131913,ihawk2,0.0,3,0,3,0,0.2454,0.2646,2.8369,2.97098,5
r640x400,640,400,20260808_131913,ihawk2,5.0,1,0,5,1,0.0,0.0,4.6175,4.825880000000001,5
r480x300,480,300,20260808_131913,ihawk2,5.0,1,0,5,1,0.5992,0.6030000000000001,2.7809,3.39968,5
r320x200,320,200,20260808_131913,ihawk2,5.0,1,0,5,1,0.0395,0.0477,1.6761,1.76376,5
r240x150,240,150,20260808_131913,ihawk2,5.0,1,0,1,0,0.5255,0.9070999999999999,1.308,1.39096,5
r160x100,160,100,20260808_131913,ihawk2,5.0,1,0,2,0,0.1582,0.17162,2.2795,2.58026,5
r640x400,640,400,20260808_131913,ihawk2,5.0,2,0,5,1,0.0,0.0,4.5798,5.0171399999999995,5
r480x300,480,300,20260808_131913,ihawk2,5.0,2,0,5,1,0.6005,0.60232,2.9199,3.1181,5
r320x200,320,200,20260808_131913,ihawk2,5.0,2,0,5,1,0.0347,0.046239999999999996,1.6671,1.90534,5
r240x150,240,150,20260808_131913,ihawk2,5.0,2,0,1,0,0.4215,0.45026,1.5683,1.60236,5
r160x100,160,100,20260808_131913,ihawk2,5.0,2,0,2,0,0.1581,0.17642,2.1029,2.20782,5
r640x400,640,400,20260808_131913,ihawk2,5.0,3,0,5,1,0.0,0.0,5.2259,5.842700000000001,5
r480x300,480,300,20260808_131913,ihawk2,5.0,3,0,5,1,0.611,0.65886,2.967,3.2574199999999998,5
r320x200,320,200,20260808_131913,ihawk2,5.0,3,0,5,1,0.0347,0.03754,1.6862,1.70036,5
r240x150,240,150,20260808_131913,ihawk2,5.0,3,0,1,0,0.4151,0.68782,1.3137,1.37302,5
r160x100,160,100,20260808_131913,ihawk2,5.0,3,0,2,0,0.1963,0.3956,2.092,2.1935800000000003,5
r640x400,640,400,20260808_131913,ihawk2,10.0,1,0,5,1,0.0,0.0,5.0057,5.39648,5
r480x300,480,300,20260808_131913,ihawk2,10.0,1,0,5,1,0.6093,0.6149199999999999,2.6088,3.1265,5
r320x200,320,200,20260808_131913,ihawk2,10.0,1,0,4,0,0.0345,0.036320000000000005,1.6613,1.9105599999999998,5
r240x150,240,150,20260808_131913,ihawk2,10.0,1,0,3,0,0.4203,0.42482,1.365,1.8175,5
r160x100,160,100,20260808_131913,ihawk2,10.0,1,0,2,0,0.1563,0.1696,1.5078,2.15048,5
r640x400,640,400,20260808_131913,ihawk2,10.0,2,0,5,1,0.0,0.0,4.581,4.78308,5
r480x300,480,300,20260808_131913,ihawk2,10.0,2,0,5,1,0.5999,0.6036400000000001,2.7286,3.72186,5
r320x200,320,200,20260808_131913,ihawk2,10.0,2,0,4,0,0.0398,0.05304,1.6885,2.1680200000000003,5
r240x150,240,150,20260808_131913,ihawk2,10.0,2,0,3,0,0.4123,0.42188,1.2868,1.77204,5
r160x100,160,100,20260808_131913,ihawk2,10.0,2,0,2,0,0.1578,0.1652,1.4973,1.68202,5
r640x400,640,400,20260808_131913,ihawk2,10.0,3,0,5,1,0.0,0.0,4.6176,5.21286,5
r480x300,480,300,20260808_131913,ihawk2,10.0,3,0,5,1,0.6083,0.61458,2.5883,2.83444,5
r320x200,320,200,20260808_131913,ihawk2,10.0,3,0,4,0,0.035,0.0381,1.6849,1.935,5
