camera,run_id,height_mm,marker_id,board_position,frame_index,branch_label,matches_acquisition_solution,reprojection_rmse_px,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad
ihawk1,20260808_131913,5.0,3,BR,3,A,1,0.11343850981010578,84.67400451410325,88.06228252243929,588.2216514539238,1.9977502281816346,-0.6815650816779266,0.411503315428859
ihawk1,20260808_131913,5.0,3,BR,3,B,0,0.8134901814756463,84.36215053906372,88.8541166885304,586.7642880614991,-2.2382892218265775,0.9645954504475056,0.6326848214787125
ihawk1,20260808_131913,5.0,4,C,1,A,1,0.1837074418887972,-40.81783004110745,63.47531158150959,629.8488800273373,1.9852182026197476,-0.6528624881402716,0.4123588235836863
ihawk1,20260808_131913,5.0,4,C,1,B,0,0.847519341526056,-40.685807420369144,64.21219821473728,628.0260593988595,-2.180390906425497,0.6326889114105032,0.22389614329451887
ihawk1,20260808_131913,5.0,4,C,2,A,1,0.17794161046891788,-40.771282441745406,63.46312262859349,629.6539700499101,1.9840774496176812,-0.6517077469260583,0.413705029143488
ihawk1,20260808_131913,5.0,4,C,2,B,0,0.8328673500616408,-40.64392400517154,64.2043619108286,627.8827037844261,-2.179448426976577,0.6317140944917399,0.22563226842226367
ihawk1,20260808_131913,5.0,4,C,3,A,1,0.16901133694818007,-40.80374434839416,63.50885656152756,629.9716225395487,1.9854167198776187,-0.6533829378610077,0.4137197128023653
ihawk1,20260808_131913,5.0,4,C,3,B,0,0.8285332417159385,-40.676802984235884,64.25212241604157,628.2137151682333,-2.1807572216173305,0.6334826109152321,0.22525083762809409
ihawk1,20260808_131913,10.0,0,TL,1,A,1,0.05937005895033551,-162.82804473516134,32.36938155370337,667.3721915877869,1.9964451514934483,-0.6503361536239433,0.4266387652769796
ihawk1,20260808_131913,10.0,0,TL,1,B,0,0.714930216789193,-162.47061692001918,33.11283421979175,666.2365791551528,-2.0840275490632703,0.37271910055613366,-0.08892709215623626
ihawk1,20260808_131913,10.0,0,TL,2,A,1,0.0738766695016262,-162.72413799212404,32.355667105981205,667.0657708106035,1.9967092851731294,-0.6490406166313231,0.42510044690429877
ihawk1,20260808_131913,10.0,0,TL,2,B,0,0.7028118385654503,-162.37932313235726,33.10194648466193,665.9841198553466,-2.0841181174360157,0.3713889581671295,-0.09036506300557873
ihawk1,20260808_131913,10.0,0,TL,3,A,1,0.055821769298615376,-162.7528644292413,32.36389046820566,667.0711428371852,1.9963853542841958,-0.6491990976381713,0.4239815689059811
ihawk1,20260808_131913,10.0,0,TL,3,B,0,0.7219143408013027,-162.38856481393773,33.10604998376454,665.9129772364969,-2.083507960048409,0.37132912486035285,-0.09144983491833579
ihawk1,20260808_131913,10.0,1,TR,1,A,1,0.12567144174091657,-50.642293208642585,-6.526205953667083,756.081673545179,1.9960582372074598,-0.6525434053925432,0.3984544667565061
ihawk1,20260808_131913,10.0,1,TR,1,B,0,0.4127715084235134,-50.577305361084235,-5.8293953798349945,755.3647877360193,-1.9871634436380943,0.5637163433775662,0.26765027003697944
ihawk1,20260808_131913,10.0,1,TR,2,A,1,0.19660467675229176,-50.475465599002135,-6.5167294377855125,756.2055981172548,1.9926637410943837,-0.6498419540112692,0.4001508790215328
ihawk1,20260808_131913,10.0,1,TR,2,B,0,0.37959520125067947,-50.42455726645113,-5.8254288816656885,755.6786687470973,-1.9840449520781638,0.5613762732501197,0.27030132754446606
ihawk1,20260808_131913,10.0,1,TR,3,A,1,0.18148622600007644,-50.45020892253063,-6.433215006224898,755.446689447101,1.9936296482193847,-0.6449292859795288,0.389970404846103
ihawk1,20260808_131913,10.0,1,TR,3,B,0,0.4184419081908672,-50.38462296872871,-5.739471966852428,754.7589260868381,-1.9844855182113517,0.5565013311170122,0.260106394471498
ihawk1,20260808_131913,10.0,2,BL,1,A,1,0.1603173230900886,-26.80042582499901,122.3556012070271,508.61056833279923,1.9875367254675893,-0.6529371243552391,0.40246972402186426
ihawk1,20260808_131913,10.0,2,BL,1,B,0,1.214388619871708,-26.668713069153224,123.07800629852159,506.5311357890951,-2.433949732428856,0.7302054949192,0.14990631588141026
ihawk1,20260808_131913,10.0,2,BL,2,A,1,0.17972622105979102,-26.765793974292368,122.28364310377968,508.3497878094355,1.9860860020863484,-0.6546951993052228,0.4005604720638591
ihawk1,20260808_131913,10.0,2,BL,2,B,0,1.2296209474723767,-26.62852489468966,122.99711083004513,506.2308598670465,-2.432221647076211,0.7315708880310576,0.14776017831972654
