camera,run_id,height_mm,marker_id,board_position,n_frames,selected_branch_sequence,branch_switch_flag,large_mode_jump_flag,max_pairwise_rho_mm,max_pairwise_omega_rad,covariance_rank,sigma_rho_x_mm,sigma_rho_y_mm,sigma_rho_z_mm,sigma_omega_x_rad,sigma_omega_y_rad,sigma_omega_z_rad,role
ihawk1,20260808_131913,45.0,1,TR,3,A/B/B,1,1,5.330452207980991,2.2361217022904736,2,0.08995436256631426,0.4417129295681858,2.943683102728308,1.0773418485861417,0.7109355273549203,0.0009876495143550988,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,45.0,2,BL,3,A/A/A,0,0,0.16881691942708546,0.003174901032274201,2,0.03008283932816442,0.06825372311369983,0.060089526978555484,0.0012660176413415451,0.0011912291516088514,0.0005875983399038883,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,45.0,3,BR,3,A/A/A,0,0,0.1907867085675832,0.0009598342791221035,2,0.0671422949792728,0.04378734076850806,0.05374337443721829,0.0004191738420412047,8.018165678587766e-05,0.0002594061579891056,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,45.0,4,C,3,A/A/A,0,0,0.7949242021109423,0.0014230425170203942,2,0.1854592607281848,0.2872763274214438,0.20268922207544574,0.0005125106147204696,0.00043799033617219357,0.000498733985755408,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,50.0,0,TL,3,A/A/A,0,0,0.4615742701630381,0.001802802627213735,2,0.07727920883951887,0.19321360599960896,0.10184955762631946,0.0007819221712940836,0.00042225868038081496,0.000849409578407988,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,50.0,1,TR,3,A/A/A,0,0,0.630194027541343,0.0027451160309247763,2,0.17075405987937317,0.254446502938789,0.1626978252759316,0.0008035178867952437,0.00039665729679538695,0.0012381189858848849,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,50.0,2,BL,3,A/A/A,0,0,0.20881290333345565,0.0026317612003052917,2,0.05049680784245689,0.06086036085473856,0.07207614110001588,0.001049259990903881,0.0002623561922257556,0.0008094429278370863,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,50.0,3,BR,3,A/A/A,0,0,0.2462156055690269,0.0032317566189782733,2,0.09578374327710029,0.06193574830550123,0.07414935151729561,0.001118050320449068,0.0006178049033754657,0.0014811387453777989,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_131913,50.0,4,C,3,A/A/A,0,0,0.8000397500508665,0.00883106349477893,2,0.15593210386931258,0.3282626093698533,0.20620500919902332,0.002857281228786245,0.0015186943465745177,0.0035969277002078494,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,0.0,0,TL,3,A/A/A,0,0,1.9948817976108346,0.005001108981251002,2,0.31269638362706165,0.9328978292890027,0.5699286664687613,0.0023431143316150005,0.002243793277589914,0.0012022779939089101,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,0.0,1,TR,3,A/A/A,0,0,0.3749251864952561,0.0004133856297544113,2,0.09089518729227893,0.15351054661922534,0.08814995720495902,3.354299483540297e-05,0.00017882116480361584,0.00012433282780913222,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,0.0,2,BL,3,A/A/A,0,0,0.4775801680073487,0.003103475370421964,2,0.07960310767693883,0.15266681377242544,0.16723970373837135,0.0013767263789945406,0.0002380857072095338,0.0010555928636931953,failure_mode_comparator_not_primary_measurement
