camera,run_id,height_mm,frame_index,rho_x_mm,rho_y_mm,rho_z_mm,omega_x_rad,omega_y_rad,omega_z_rad,definition
ihawk2,20260808_131913,45.0,2,-0.019487040893776737,0.007571369499438693,0.016966648664746398,-0.00020109085363722413,0.00016089959057122654,-8.685455577886276e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,45.0,3,0.011314662600626241,0.0003273164930137068,-0.004956320056024808,4.867881083466767e-06,-5.648765608958844e-05,-1.56020552438469e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,50.0,1,0.002519309103803598,-0.0016943557506806392,0.00027668661631351883,5.771190584620194e-05,5.1442773996401306e-05,2.3774778786926264e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,50.0,2,0.021350918304181118,0.009425088200294467,-0.01304902884753341,-6.721432703273566e-05,-0.00014280302622882778,-7.736353791440698e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,50.0,3,-0.023870227407921548,-0.007730732449619019,0.0127723422311369,9.502420022852572e-06,9.136025061307319e-05,5.358875829928171e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,0.0,1,-0.005769463116913533,0.009619800475128741,0.007791415377058057,-3.7903157640732654e-05,4.200440388356542e-05,-7.400990600809353e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,0.0,2,-0.003895832840932453,-0.0015776363783706903,0.006329754681142814,6.457391723600807e-05,-3.139054927804452e-05,6.274948727372993e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,0.0,3,0.009665295957826142,-0.008042164096750633,-0.014121170058291391,-2.6670759335321177e-05,-1.0613854588609195e-05,1.1260418760846719e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,5.0,1,0.0011165633571585416,0.00734067240595075,0.0009347204771220939,5.659839955488394e-06,-2.430190783875967e-05,5.2603886066948835e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,5.0,2,-0.008273454061082418,-0.00632032780441488,0.002175836253897243,-1.0685466852378553e-05,-3.5652688117498634e-05,-1.2523991950548067e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,5.0,3,0.00715689070378719,-0.0010203446015268403,-0.003110556731002172,5.025626772110345e-06,5.995459545383377e-05,-4.007989417101694e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,10.0,1,0.011908829719966388,-0.003479019336758771,-0.012756675224953782,-8.902437818923411e-05,-8.254153793889366e-05,-7.107931198222378e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,10.0,2,-0.025163855428635726,-0.004767525173620937,0.015459091865921383,0.00011788891932544515,3.758533056469723e-05,3.165171320950963e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,10.0,3,0.013255025708733126,0.008246544510392683,-0.00270241664113625,-2.8864542651521388e-05,4.4956206459073614e-05,3.9427597989521094e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,15.0,1,0.006445649834204955,-0.000683945522735626,0.01397885942980646,2.8719464697890225e-05,-0.00016694096731592506,-8.386125486296888e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_141232,15.0,2,0.003007390153095908,-0.008286061935466481,-0.011803535157977989,7.725808122074207e-05,7.095596382121486e-05,0.00011470270424809086,Log(inv(T_bar_camera_run_height) @ T_frame)
