camera,run_id,height_mm,frame_index,branch_label,selected_by_reprojection,native_solution_index,positive_depth,reprojection_rmse_px,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad
ihawk1,20260808_131913,15.0,3,A,1,0,1,0.37364423308146405,-39.26180399929643,53.11608890725097,619.4458398370601,1.9976332562349972,-0.648954463493694,0.40349297938437373
ihawk1,20260808_131913,15.0,3,B,0,1,1,12.808180073192776,-29.413662553614568,63.94467593965088,588.9719320160617,-2.165557490332341,0.6213037147013399,0.2255716344087509
ihawk1,20260808_131913,20.0,1,A,1,0,1,0.3718589555234832,-36.9848718372041,48.952451001021444,616.5601584149672,1.9966020484073836,-0.643261626659349,0.40535273484132944
ihawk1,20260808_131913,20.0,1,B,0,1,1,12.971018343988712,-27.187651628193017,59.93288351160645,585.6945752936763,-2.1528052847850363,0.6158621586025431,0.23844068429229479
ihawk1,20260808_131913,20.0,2,A,1,0,1,0.3801889690398914,-36.98073426744424,48.95090444160486,616.5724911742968,1.996635733843904,-0.6432731267402396,0.4053629831702302
ihawk1,20260808_131913,20.0,2,B,0,1,1,12.973590929260391,-27.183617955081512,59.93041978894603,585.6967168890019,-2.1528218770553935,0.6158782825361202,0.23846415565992077
ihawk1,20260808_131913,20.0,3,A,1,0,1,0.5200896825518228,-36.96665993328111,49.0856351567992,616.8103616634277,1.9977267588162642,-0.641461561582327,0.4088008868517429
ihawk1,20260808_131913,20.0,3,B,0,1,1,12.919172925487958,-27.22352993229842,60.08502049438533,586.1353174362368,-2.1545951721031416,0.6145082617045664,0.24186628435126087
ihawk1,20260808_131913,25.0,1,A,1,0,1,0.7208179759687309,-36.40449586787657,44.44741638109744,609.9083390068923,1.991426630133419,-0.645030077610888,0.4021132997222867
ihawk1,20260808_131913,25.0,1,B,0,1,1,12.963827381195308,-26.4732415688569,55.70437671537667,580.0423392136922,-2.136104385078551,0.6144691175385252,0.24046185384643137
ihawk1,20260808_131913,25.0,2,A,1,0,1,0.7379537684205542,-36.396536402671934,44.43884644937006,609.8905546192005,1.9914357582737652,-0.6451409355272083,0.4021651416343219
ihawk1,20260808_131913,25.0,2,B,0,1,1,12.973841614425627,-26.463064786640274,55.69378030657033,579.9889409461713,-2.1360575053495645,0.614591265516235,0.24055486675637158
ihawk1,20260808_131913,25.0,3,A,1,0,1,0.48660936422906864,-36.764116159497824,44.642170493172614,611.935503562907,1.992304263283574,-0.6484164803024108,0.40756952800660795
ihawk1,20260808_131913,25.0,3,B,0,1,1,13.027209582199525,-26.828353538122375,55.80583733979513,581.5345981007052,-2.1366791421468228,0.6174236627708308,0.2444435065364864
ihawk1,20260808_131913,30.0,1,A,1,0,1,0.6432016471713802,-37.95549808195,39.91533818346267,608.5680637584687,1.9880163650530585,-0.6583839787086675,0.4125481156472419
ihawk1,20260808_131913,30.0,1,B,0,1,1,13.003895941999282,-27.82041554689465,51.24849720239822,578.9052540996092,-2.1188657648583304,0.6207865089648733,0.249206706178966
ihawk1,20260808_131913,30.0,2,A,1,0,1,0.7051252903519019,-37.93968619448234,39.9677822039783,608.7574179878623,1.9883576175547397,-0.6593800816540066,0.4107055477054347
ihawk1,20260808_131913,30.0,2,B,0,1,1,13.01181870511965,-27.79174905734681,51.29275892631227,579.0516939420908,-2.119215501775839,0.6217127108001587,0.24717228705310412
ihawk1,20260808_131913,30.0,3,A,1,0,1,0.7436360890756634,-37.91853482703666,39.95747797729775,608.7352200173677,1.9883130486556568,-0.6589885630155312,0.41026347483661235
ihawk1,20260808_131913,30.0,3,B,0,1,1,13.019093940925845,-27.771626610441853,51.28509822287876,579.0214556362919,-2.1191226765224807,0.6213601707159006,0.2469196906900518
ihawk1,20260808_131913,35.0,1,A,1,0,1,1.009340344480883,-38.940773305606136,37.04487458699633,603.6612833758369,1.9891657170383377,-0.6505127961374576,0.41965543923749565
ihawk1,20260808_131913,35.0,1,B,0,1,1,13.097676262905102,-28.774743059802553,48.61014857167881,574.3738511120581,-2.1137275924763905,0.6074849225600796,0.2535551490103465
ihawk1,20260808_131913,35.0,2,A,1,0,1,0.6063887609010403,-39.19015134538044,37.02313402688495,605.5406289691123,1.9905622391057618,-0.6538944599072262,0.41649964266197875
ihawk1,20260808_131913,35.0,2,B,0,1,1,13.149391477276577,-28.982423826375243,48.53906387886832,575.7329168325873,-2.1138781285851813,0.6103624500491596,0.2501486136774653
ihawk1,20260808_131913,35.0,3,A,1,0,1,1.0453589345676326,-38.89444823785698,37.087728456298585,603.3909449387725,1.9894110526929207,-0.6494996173856433,0.42136323669346054
ihawk1,20260808_131913,35.0,3,B,0,1,1,13.110551845023148,-28.741269373542067,48.65710588062541,574.0847304899718,-2.114329525710349,0.606537639615983,0.25506842373499944
ihawk1,20260808_131913,40.0,1,A,1,0,1,0.7349176490561712,-41.79517330879497,32.798248704415016,599.2746928050674,1.987763098486547,-0.6547247365348109,0.4181428304616578
ihawk1,20260808_131913,40.0,1,B,0,1,1,13.686411111787827,-31.223648723986216,44.47863287643894,568.3327939418441,-2.0989863563529516,0.6003792545475329,0.24527723492980588
ihawk1,20260808_131913,40.0,2,A,1,0,1,0.6961831155041162,-41.848284910170385,32.81612203789155,599.3888651199815,1.987587432431046,-0.6549282919181735,0.41922919539717635
ihawk1,20260808_131913,40.0,2,B,0,1,1,13.700079602495151,-31.27058508884818,44.48372783308431,568.352741229824,-2.0988391785071183,0.6004533810073168,0.24609686289513846
ihawk1,20260808_131913,40.0,3,A,1,0,1,0.7487932486343366,-41.794718600627476,32.79521973363693,599.2884371838769,1.9878589295302087,-0.6545242176700143,0.4189330755427409
ihawk1,20260808_131913,40.0,3,B,0,1,1,13.69313507142756,-31.22702069673672,44.47488309973057,568.3143288424479,-2.0990896353292796,0.6001997647907062,0.24606646808323318
ihawk1,20260808_131913,45.0,1,A,1,0,1,0.6700356137200086,-42.04601844657797,28.950697565988143,600.5230234188334,1.99163708752656,-0.6479044156278888,0.41941256628815926
ihawk1,20260808_131913,45.0,1,B,0,1,1,13.50794715285653,-31.58774803667281,40.84583036910699,570.2018229735081,-2.0911866611657755,0.5900453317108907,0.25075098060772144
ihawk1,20260808_131913,45.0,2,A,1,0,1,0.7440265628820103,-41.95804502089801,28.913385838103885,600.4119407038501,1.9918787208900575,-0.6473626746991811,0.418323841666032
ihawk1,20260808_131913,45.0,2,B,0,1,1,13.512963824647848,-31.507036406683607,40.82045257240519,570.1191250705291,-2.0912910986845246,0.589681755911255,0.2501094955313197
ihawk1,20260808_131913,45.0,3,A,1,0,1,0.7291631205335755,-41.96646003331146,28.916169250577994,600.3902311326594,1.9918646849570347,-0.6476645117753752,0.41826910667208317
ihawk1,20260808_131913,45.0,3,B,0,1,1,13.50704861773361,-31.51297753419524,40.82315749396402,570.12048349044,-2.0912915308855733,0.5899706011221535,0.24999392942569448
ihawk1,20260808_131913,50.0,1,A,1,0,1,0.5782983628928634,-39.50243483189147,24.719462316586743,598.9509995405963,1.9957982699512749,-0.6500821525930488,0.406142820215598
ihawk1,20260808_131913,50.0,1,B,0,1,1,13.553131822543461,-29.063910813259536,36.80966542693318,568.6461296278811,-2.0815907575660804,0.592640064788326,0.24886383484756483
ihawk1,20260808_131913,50.0,2,A,1,0,1,0.584612110380521,-39.519078745840254,24.720760805411388,599.0428631609951,1.9959103877627704,-0.6501664664657958,0.4064757051883447
ihawk1,20260808_131913,50.0,2,B,0,1,1,13.55191864090258,-29.082453374094175,36.81017980168196,568.7303291091556,-2.0816872949159344,0.5927248085194722,0.2491740732299644
ihawk1,20260808_131913,50.0,3,A,1,0,1,0.5835188644859469,-39.52875094093715,24.71814340418441,599.0370358797721,1.995787972345846,-0.6500366763167703,0.40629049281059393
ihawk1,20260808_131913,50.0,3,B,0,1,1,13.563781426038137,-29.086936676970872,36.804332791357,568.6757037489975,-2.0815392050694608,0.5925183891136231,0.2489274883595715
ihawk1,20260808_141232,0.0,1,A,1,0,1,1.06231509688147,-37.7528045368852,64.99029244846642,624.1170991484182,1.9905735962484323,-0.635399982972826,0.3987468794013201
ihawk1,20260808_141232,0.0,1,B,0,1,1,12.93415647730094,-28.087979236616295,75.1888125930283,592.3551842142531,-2.1923371530572364,0.6207821670554143,0.2176358543617769
ihawk1,20260808_141232,0.0,2,A,1,0,1,0.6272932638737535,-37.502041726112964,65.16614377826627,625.5447480474713,1.9916596196984109,-0.6364370928071067,0.3984868270401727
ihawk1,20260808_141232,0.0,2,B,0,1,1,12.754788550989845,-27.910882246278195,75.39156337244552,594.2277550316787,-2.193549313793022,0.6230035408347208,0.2187573479637375
ihawk1,20260808_141232,0.0,3,A,1,0,1,0.6145169344646754,-37.48774926459908,65.19376692976385,625.6354251508454,1.9919017769945941,-0.6361671030708204,0.39874816781610717
ihawk1,20260808_141232,0.0,3,B,0,1,1,12.76123130567472,-27.901221328258504,75.41479207717532,594.2749631442618,-2.1938453244355505,0.6227638000992322,0.21900686537536881
ihawk1,20260808_141232,5.0,1,A,1,0,1,0.5271193511981506,-39.526087381364455,59.02836756758244,629.0525012670176,1.9919740151684262,-0.6617609627546553,0.4078023636746613
ihawk1,20260808_141232,5.0,1,B,0,1,1,12.367830226064026,-29.774487743547013,69.41905534977214,599.1811617127124,-2.1742166914484122,0.6402760619457164,0.22576141718074505
ihawk1,20260808_141232,5.0,2,A,1,0,1,0.5172744550081786,-39.51886772158919,59.02979922586925,629.0648735904502,1.9919361016085102,-0.6616957867943779,0.4077632125152261
