subset_id,n_points,distribution,trial_index,global_trial_id,spread_score,hull_area_mm2,hull_coverage,mean_pairwise_distance_mm,corner_indices,grid_col_row
N16_spread_T058,16,spread,58,1258,0.745367176821819,21875.0,1.0,105.53641324386247,0;5;7;10;18;23;28;31;32;37;40;41;42;43;45;47,"0,0;5,0;1,1;4,1;0,3;5,3;4,4;1,5;2,5;1,6;4,6;5,6;0,7;1,7;3,7;5,7"
N16_spread_T059,16,spread,59,1259,0.7453099876364595,21875.0,1.0,105.5118152451515,0;4;5;9;10;18;19;20;24;28;29;31;42;43;45;47,"0,0;4,0;5,0;3,1;4,1;0,3;1,3;2,3;0,4;4,4;5,4;1,5;0,7;1,7;3,7;5,7"
N16_spread_T060,16,spread,60,1260,0.7450980264208127,21875.0,1.0,105.42064727910193,0;5;8;13;16;23;24;27;30;38;40;41;42;43;45;47,"0,0;5,0;2,1;1,2;4,2;5,3;0,4;3,4;0,5;2,6;4,6;5,6;0,7;1,7;3,7;5,7"
N16_spread_T061,16,spread,61,1261,0.7450899226047518,21875.0,1.0,105.41716169601892,0;2;4;5;7;10;13;16;19;24;29;30;37;38;42;47,"0,0;2,0;4,0;5,0;1,1;4,1;1,2;4,2;1,3;0,4;5,4;0,5;1,6;2,6;0,7;5,7"
N16_spread_T062,16,spread,62,1262,0.7450337023645973,21875.0,1.0,105.39298045639892,0;4;5;6;8;13;17;18;21;28;30;32;34;42;43;47,"0,0;4,0;5,0;0,1;2,1;1,2;5,2;0,3;3,3;4,4;0,5;2,5;4,5;0,7;1,7;5,7"
N16_spread_T063,16,spread,63,1263,0.7449946188842353,21875.0,1.0,105.3761700158668,0;4;5;7;8;9;10;13;23;24;29;38;39;40;42;47,"0,0;4,0;5,0;1,1;2,1;3,1;4,1;1,2;5,3;0,4;5,4;2,6;3,6;4,6;0,7;5,7"
N16_spread_T064,16,spread,64,1264,0.7449903440471469,21875.0,1.0,105.37433133891192,0;4;5;6;7;8;9;10;15;18;23;31;40;41;42;47,"0,0;4,0;5,0;0,1;1,1;2,1;3,1;4,1;3,2;0,3;5,3;1,5;4,6;5,6;0,7;5,7"
N16_spread_T065,16,spread,65,1265,0.7449284932724825,21875.0,1.0,105.34772831482782,0;2;5;6;10;13;18;19;21;28;37;38;40;41;42;47,"0,0;2,0;5,0;0,1;4,1;1,2;0,3;1,3;3,3;4,4;1,6;2,6;4,6;5,6;0,7;5,7"
N16_spread_T066,16,spread,66,1266,0.7448174933305174,21875.0,1.0,105.29998543455746,0;4;5;6;7;8;10;15;21;24;28;30;39;41;42;47,"0,0;4,0;5,0;0,1;1,1;2,1;4,1;3,2;3,3;0,4;4,4;0,5;3,6;5,6;0,7;5,7"
N16_spread_T067,16,spread,67,1267,0.7448052734579557,21875.0,1.0,105.29472946863258,0;2;5;6;8;9;10;17;24;28;31;32;34;41;42;47,"0,0;2,0;5,0;0,1;2,1;3,1;4,1;5,2;0,4;4,4;1,5;2,5;4,5;5,6;0,7;5,7"
N16_spread_T068,16,spread,68,1268,0.7447266650495321,21875.0,1.0,105.2609187137334,0;4;5;6;7;9;10;13;16;24;28;30;31;42;43;47,"0,0;4,0;5,0;0,1;1,1;3,1;4,1;1,2;4,2;0,4;4,4;0,5;1,5;0,7;1,7;5,7"
N16_spread_T069,16,spread,69,1269,0.7446946146514447,21875.0,1.0,105.24713331626909,0;2;5;6;8;21;24;27;29;30;38;39;40;42;45;47,"0,0;2,0;5,0;0,1;2,1;3,3;0,4;3,4;5,4;0,5;2,6;3,6;4,6;0,7;3,7;5,7"
N16_spread_T070,16,spread,70,1270,0.744656908172153,21875.0,1.0,105.23091514629196,0;2;4;5;6;7;8;9;18;27;29;31;32;42;43;47,"0,0;2,0;4,0;5,0;0,1;1,1;2,1;3,1;0,3;3,4;5,4;1,5;2,5;0,7;1,7;5,7"
N16_spread_T071,16,spread,71,1271,0.7446325945413725,21875.0,1.0,105.22045745827214,0;5;7;10;17;19;20;23;24;28;39;40;42;43;45;47,"0,0;5,0;1,1;4,1;5,2;1,3;2,3;5,3;0,4;4,4;3,6;4,6;0,7;1,7;3,7;5,7"
