subset_id,n_points,distribution,trial_index,point_order,corner_index,board_col,board_row,board_x_mm,board_y_mm,u_undist_median_px,v_undist_median_px
N04_spread_T054,4,spread,54,1,7,1,1,25.0,25.0,254.33206176757812,251.9332275390625
N04_spread_T054,4,spread,54,2,17,5,2,125.0,50.0,317.6033935546875,238.67313385009766
N04_spread_T054,4,spread,54,3,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T054,4,spread,54,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T055,4,spread,55,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T055,4,spread,55,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T055,4,spread,55,3,31,1,5,25.0,125.0,289.00128173828125,288.48399353027344
N04_spread_T055,4,spread,55,4,45,3,7,75.0,175.0,341.5081787109375,294.6528625488281
N04_spread_T056,4,spread,56,1,2,2,0,50.0,0.0,260.8468322753906,238.825927734375
N04_spread_T056,4,spread,56,2,16,4,2,100.0,50.0,304.5956115722656,243.9715118408203
N04_spread_T056,4,spread,56,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T056,4,spread,56,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T057,4,spread,57,1,4,4,0,100.0,0.0,287.49256896972656,229.35186767578125
N04_spread_T057,4,spread,57,2,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T057,4,spread,57,3,34,4,5,100.0,125.0,333.4026794433594,268.28565979003906
N04_spread_T057,4,spread,57,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T058,4,spread,58,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T058,4,spread,58,2,16,4,2,100.0,50.0,304.5956115722656,243.9715118408203
N04_spread_T058,4,spread,58,3,40,4,6,100.0,150.0,344.27281188964844,277.3101501464844
N04_spread_T058,4,spread,58,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T059,4,spread,59,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T059,4,spread,59,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T059,4,spread,59,3,29,5,4,125.0,100.0,336.5635070800781,253.45867156982422
N04_spread_T059,4,spread,59,4,45,3,7,75.0,175.0,341.5081787109375,294.6528625488281
N04_spread_T060,4,spread,60,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T060,4,spread,60,2,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T060,4,spread,60,3,28,4,4,100.0,100.0,323.2547912597656,259.6943054199219
N04_spread_T060,4,spread,60,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T061,4,spread,61,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T061,4,spread,61,2,23,5,3,125.0,75.0,327.05821228027344,245.8694610595703
N04_spread_T061,4,spread,61,3,37,1,6,25.0,150.0,299.1462707519531,299.0100555419922
N04_spread_T061,4,spread,61,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T062,4,spread,62,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T062,4,spread,62,2,18,0,3,0.0,75.0,254.88031768798828,275.4424743652344
N04_spread_T062,4,spread,62,3,40,4,6,100.0,150.0,344.27281188964844,277.3101501464844
N04_spread_T062,4,spread,62,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T063,4,spread,63,1,2,2,0,50.0,0.0,260.8468322753906,238.825927734375
N04_spread_T063,4,spread,63,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T063,4,spread,63,3,31,1,5,25.0,125.0,289.00128173828125,288.48399353027344
N04_spread_T063,4,spread,63,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T064,4,spread,64,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T064,4,spread,64,2,16,4,2,100.0,50.0,304.5956115722656,243.9715118408203
N04_spread_T064,4,spread,64,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T064,4,spread,64,4,45,3,7,75.0,175.0,341.5081787109375,294.6528625488281
N04_spread_T065,4,spread,65,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T065,4,spread,65,2,17,5,2,125.0,50.0,317.6033935546875,238.67313385009766
N04_spread_T065,4,spread,65,3,31,1,5,25.0,125.0,289.00128173828125,288.48399353027344
N04_spread_T065,4,spread,65,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T066,4,spread,66,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T066,4,spread,66,2,10,4,1,100.0,25.0,295.9626159667969,236.67150115966797
N04_spread_T066,4,spread,66,3,30,0,5,0.0,125.0,272.9045715332031,295.7793426513672
N04_spread_T066,4,spread,66,4,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T067,4,spread,67,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T067,4,spread,67,2,4,4,0,100.0,0.0,287.49256896972656,229.35186767578125
N04_spread_T067,4,spread,67,3,30,0,5,0.0,125.0,272.9045715332031,295.7793426513672
N04_spread_T067,4,spread,67,4,40,4,6,100.0,150.0,344.27281188964844,277.3101501464844
N04_spread_T068,4,spread,68,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T068,4,spread,68,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T068,4,spread,68,3,39,3,6,75.0,150.0,329.9949645996094,284.4437255859375
N04_spread_T068,4,spread,68,4,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T069,4,spread,69,1,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T069,4,spread,69,2,16,4,2,100.0,50.0,304.5956115722656,243.9715118408203
N04_spread_T069,4,spread,69,3,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
N04_spread_T069,4,spread,69,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T070,4,spread,70,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T070,4,spread,70,2,21,3,3,75.0,75.0,299.9363555908203,257.1285095214844
N04_spread_T070,4,spread,70,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T070,4,spread,70,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T071,4,spread,71,1,7,1,1,25.0,25.0,254.33206176757812,251.9332275390625
N04_spread_T071,4,spread,71,2,9,3,1,75.0,25.0,282.7714385986328,241.5723114013672
N04_spread_T071,4,spread,71,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T071,4,spread,71,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T072,4,spread,72,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
