dataset,camera,pose_key,height_mm,run_id,n_runs_for_condition,b_rho_x_mm,b_rho_y_mm,b_rho_z_mm,b_omega_x_rad,b_omega_y_rad,b_omega_z_rad,definition
E2,ihawk1,marker_0,15.0,20260808_151001,5,-0.7764146700529952,-3.131941904549033,1.2068908158399545,-0.0006272735657300901,0.0013800914591593884,-0.0024618911359009306,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,15.0,20260808_162715,5,5.008226216036387,-1.6803684010464082,-0.7556005718460183,0.0011784629877075392,-0.00512322980193815,-0.0064837872642245125,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,15.0,20260808_131913,5,-1.9305003233962612,2.0473349183516603,-0.6602502150115429,0.005388470524507313,-0.01603660560516463,-0.0014021544494596204,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,15.0,20260808_141232,5,1.2387489129818048,5.602916632572721,-1.7180137922492331,-0.0011520107089368846,0.016608929523985627,0.0028386420551915616,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,15.0,20260808_145501,5,-0.8786984817931809,2.063974455363098,-1.5900642204853475,0.00015033065006604318,0.010371683086844963,0.013567282548287523,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,15.0,20260808_151001,5,-2.19507174410532,-4.6346055409256355,3.20800926765224,0.0012773458544916385,-0.024857781754722672,-0.0017013300893493817,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,15.0,20260808_162715,5,3.7655216363130997,-5.079620465361887,0.7603189600938137,-0.005664136320126903,0.013913774749055466,-0.013302440064670318,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,15.0,20260808_131913,5,-0.9869300275122957,0.6496559531504889,-0.6326320546698898,0.0003611416051028,-0.0051313601197295125,0.0039045081394761738,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,15.0,20260808_141232,5,-3.443605510563233,0.6892195467027723,4.382285039134548,-0.007475428855558404,0.014922327591060299,0.00013786453840725237,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,15.0,20260808_145501,5,-0.17171606144806545,0.6354962440124291,-1.2022475153364638,-0.0009586684772293763,-0.004769648452786467,0.0034664066923113957,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,15.0,20260808_151001,5,0.09773226424254441,-0.29249421927990693,-0.7957815696946268,-0.0004947698111301046,-0.006079318815607807,-0.005621660655756208,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,15.0,20260808_162715,5,4.504519335281088,-1.6818775245858262,-1.7516238994336624,0.008567725538817355,0.0010579997970620787,-0.0018871187144084483,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,15.0,20260808_131913,5,0.5212794725633694,2.688505539795422,-1.9740113849235617,-0.008773525590098474,-0.0020000449629840444,-0.003831134011103765,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,15.0,20260808_141232,5,-0.23242829097852255,4.890126826429148,-0.565252931694224,-0.008291591163621175,-0.009903166797461593,-0.00709025827375691,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
