dataset,camera,height_mm,component,run_id,pose_key,sample_id,rho_x_mm,rho_y_mm,rho_z_mm,omega_x_rad,omega_y_rad,omega_z_rad,coordinate
E2,ihawk1,0.0,within_pose,20260808_145501,marker_1,1,0.38597855990338226,0.24582662832615265,-0.2537827058184854,0.0004355908694317551,6.511754891110578e-05,0.001555668115757374,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_145501,marker_1,2,-0.7322195339712473,-0.4939954310926367,0.706819919696491,-0.0023443501028784946,-0.0003294063988417805,-0.00279552915158048,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_145501,marker_1,3,0.3462409740678433,0.24816880276652087,-0.4530372138780655,0.0019087592333923956,0.00026428884992270974,0.0012398610356730993,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_151001,marker_1,1,0.14359072240074963,0.28191301724066437,-0.17248051493631847,0.0005739611716717254,0.000716784657254578,-9.736631210625977e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_151001,marker_1,2,-0.022194612611787026,-0.07344471113320415,0.04153873830608706,-0.0009345183738935096,-0.0011698706798135134,5.64092703746143e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_151001,marker_1,3,-0.1213961097890521,-0.20846830610756759,0.13094177663043832,0.00036055720228689645,0.00045308602264140135,4.095704176317649e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_162715,marker_1,1,0.45296426590949995,0.5786049473792949,-0.4689609137843483,0.0001937665724735527,-0.0003857410663935558,0.00043839059981427,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_162715,marker_1,2,0.017407674075961808,-0.28657631955998064,0.1242792983708618,-0.00024082926664168827,-0.00016369103799769488,0.0010902392838530715,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_162715,marker_1,3,-0.4703719399855069,-0.2920286278192543,0.34468161541343373,4.706269415789399e-05,0.0005494321044243286,-0.0015286298837225423,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_131913,marker_2,1,0.17157929151681212,-0.030455903082855812,-0.05110751368851497,-0.0003086823959350979,-0.0006688171650217825,-0.0009377677521352387,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_131913,marker_2,2,-0.029707427398622942,0.06038697475017657,-0.03058290560123735,-8.455986611535763e-05,-0.0002674713780161444,0.0003044497101145722,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_131913,marker_2,3,-0.14187186411840277,-0.02993107166744224,0.08169041928976607,0.00039324226211963624,0.0009362885432071517,0.0006333180421025326,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_141232,marker_2,1,-0.07407164129847785,0.2412384386553118,0.03818587892051192,0.0015896108176456146,3.9120027631591654e-05,0.0012004537840214098,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_141232,marker_2,2,0.012617268139293057,-0.22181875077009322,0.10145875759208502,-0.0007790312395483172,-0.0002552264933112949,-0.0007830952436478094,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_141232,marker_2,3,0.061454373159187024,-0.01941968788523323,-0.13964463651257036,-0.0008105795782736546,0.00021610646563972516,-0.00041735854053602696,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_145501,marker_2,1,0.08628378701287603,0.06447956860442627,-0.06445111161019255,3.811852985483793e-05,-0.0003867493466058124,-0.00022580852162219374,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_145501,marker_2,2,0.03507750142044553,0.04189907780452842,-0.06519878422103514,-0.000168619529951032,-0.00014460962172854134,-5.591660392463573e-06,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_145501,marker_2,3,-0.12136128843336344,-0.10637864640904476,0.12964989583131112,0.00013050100001030788,0.0005313589676566512,0.00023140018168492474,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_151001,marker_2,1,-0.06699432921855521,-0.07967113781020703,-0.0038892677002629705,-0.0005229334465118301,0.0006168032303531861,0.0002232521789475023,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_151001,marker_2,2,0.1438359880299294,0.1799940533292389,-0.12548865945712248,0.0006112894082499011,-0.00024842330201506715,-0.00014182227808847323,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_151001,marker_2,3,-0.07684165881136819,-0.10032291551906004,0.1293779271573327,-8.835596160186768e-05,-0.0003683799283548175,-8.14299008810078e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_162715,marker_2,1,-0.1932184884484912,-0.27990185257606276,0.1495351859985437,-0.0007303196770363769,0.0008803013427811036,-9.164782357173998e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_162715,marker_2,2,0.03026471255792741,-0.0029061180966679346,0.05465831397783324,8.733898060506471e-05,-0.0007610019723961409,-0.00013436485415389273,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_162715,marker_2,3,0.16295377589054832,0.2828079706725933,-0.2041934999763657,0.0006429806965173144,-0.0001192993704298945,0.00022601267774926233,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_131913,marker_3,1,0.30575524787268576,0.1965143072704414,-0.2636633435621445,-0.0010221997786482703,-0.0010683147029098721,-0.0020364764140787415,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_131913,marker_3,2,-0.6467687781575042,-0.3983106048828483,0.565629415461953,0.002410352468289365,0.0017768588611363747,0.004078385886335226,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_131913,marker_3,3,0.3410135302848238,0.2017962976125379,-0.301966071899879,-0.0013881526896211236,-0.000708544158211582,-0.002041909472222563,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_141232,marker_3,1,-0.27605886673376767,-0.3038542856186494,0.48865687664535845,0.00021244436327177673,0.0003882747602811356,-0.0012795511544757283,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_141232,marker_3,2,0.6829783996588994,0.6605386595676956,-0.9778233270986066,-0.00047527623980384476,-0.0019323988662281715,0.0009175843640147776,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_141232,marker_3,3,-0.4069195329250924,-0.3566843739489528,0.4891664504531296,0.000262831876524795,0.0015441241059193477,0.0003619667904790436,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_145501,marker_3,1,-0.1463944419680399,-0.09447912330409672,0.11168961008389243,0.0005901511820669031,0.00030817410364501405,0.0008976618527183906,right-invariant board-normalized SE(3) log
E2,ihawk1,0.0,within_pose,20260808_145501,marker_3,2,0.15538046403273661,0.10033607247569094,-0.12466881789412543,-0.000739021021079834,-0.0002570408471100618,-0.0009958529164905148,right-invariant board-normalized SE(3) log
