run_id,camera_id,motion_tier,motion_scenario,translation_mm,rotation_deg,pixel_noise_sigma_px,height_gt_mm,method,n_planned,n_success,success_rate,xy_mean_mm,xy_rmse_mm,xy_median_mm,xy_p95_mm,z_rmse_mm,error_3d_rmse_mm
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,0.0,RelocalizedPnP,250,250,1.0,6.634207162101382,8.223316760284671,5.288195975780567,15.161403144700248,5.5737814928727545,9.934282997291229
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,10.0,DynamicHomography,250,250,1.0,15.23538639715796,15.309932918019227,15.227605042473243,17.69123062612983,10.0,18.286444322345684
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,10.0,FrozenExtrinsicPnP,250,250,1.0,18.525821267997785,20.698580521339593,17.603250778988325,34.43573845484175,12.205608301484556,24.029317709990178
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,10.0,FrozenHomography,250,250,1.0,31.200615381926735,34.68021889116277,30.305350913292365,56.85407339542561,10.0,36.0931791664154
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,10.0,OracleMotionAwarePnP,250,250,1.0,6.4459495156990245,7.933502495626615,5.48272207232744,15.190458182589355,5.2112022057492835,9.49194870810625
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,10.0,RelocalizedPnP,250,250,1.0,6.576258058658568,8.031484413884248,5.815295215257147,14.848101130062684,5.268493849161122,9.605299023409641
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,25.0,DynamicHomography,250,250,1.0,39.60663033334284,39.74629914603931,39.65165882006712,44.83916004088651,25.0,46.95496028969086
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,25.0,FrozenExtrinsicPnP,250,250,1.0,18.985864436662286,20.96694443511639,17.500934439839,34.00898751442527,12.444288003070298,24.38181828429983
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,25.0,FrozenHomography,250,250,1.0,48.94573060488621,53.46026654185099,49.95439511252143,83.65884399781169,25.0,59.01694755513667
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,25.0,OracleMotionAwarePnP,250,250,1.0,6.686666378188305,8.315873242607605,5.678018072607859,17.05317402816631,5.221378494942562,9.819192490962063
20260808_141232,ihawk1,2,S2_moderate,15.0,2.0,0.5,25.0,RelocalizedPnP,250,250,1.0,6.771711257970024,8.399192236291515,5.605625021828359,17.39577258716518,5.297678147615084,9.930348633250398
