run_id,height_gt_mm,estimate_source,estimate_xy_rmse_mm,stereo_xy_rmse_mm,estimate_minus_stereo_xy_mm,estimate_z_rmse_mm,stereo_z_rmse_mm,estimate_minus_stereo_z_mm,estimate_3d_rmse_mm,stereo_3d_rmse_mm,estimate_minus_stereo_3d_mm,stereo_lower_3d_error
20260808_131913,40.0,LOOWeightedXYZ,4.261143885079149,5.394495714496991,-1.1333518294178422,3.0906293191453793,1.4316954512636126,1.6589338678817667,5.263965881130733,5.581248594973649,-0.31728271384291595,0
20260808_131913,45.0,ihawk1,7.892178577183061,5.632973932935151,2.2592046442479097,7.061314960973999,1.8008742229204877,5.260440738053512,10.59002604681511,5.91384336078547,4.67618268602964,1
20260808_131913,45.0,ihawk2,4.00395718107181,5.632973932935151,-1.6290167518633414,3.959594936457289,1.8008742229204877,2.1587207135368014,5.631169076548379,5.91384336078547,-0.28267428423709084,0
20260808_131913,45.0,EqualXYZ,3.949862417634105,5.632973932935151,-1.683111515301046,5.376250464109623,1.8008742229204877,3.5753762411891357,6.671242925503258,5.91384336078547,0.7573995647177885,1
20260808_131913,45.0,LOOWeightedXYZ,3.2059360351486386,5.632973932935151,-2.4270378977865126,4.4582943169777245,1.8008742229204877,2.657420094057237,5.491303495369788,5.91384336078547,-0.4225398654156818,0
20260808_131913,50.0,ihawk1,6.603113503196269,6.010756124125153,0.5923573790711165,6.32119233076023,1.5449206902088788,4.776271640551351,9.14103825714316,6.2061235181668355,2.9349147389763246,1
20260808_131913,50.0,ihawk2,5.714902461754741,6.010756124125153,-0.295853662370412,3.730162965019492,1.5449206902088788,2.185242274810613,6.824531184848772,6.2061235181668355,0.6184076666819367,1
20260808_131913,50.0,EqualXYZ,4.166038717237155,6.010756124125153,-1.8447174068879972,4.794975993941656,1.5449206902088788,3.2500553037327773,6.351981846321333,6.2061235181668355,0.14585832815449784,1
20260808_131913,50.0,LOOWeightedXYZ,4.670553884143423,6.010756124125153,-1.3402022399817293,4.0607200468344296,1.5449206902088788,2.5157993566255508,6.18898383286386,6.2061235181668355,-0.017139685302975494,0
20260808_141232,0.0,ihawk1,5.407011693290463,0.9393540468595527,4.467657646430911,3.959781672941913,0.9550103022949576,3.004771370646955,6.701913633339844,1.3395636240361726,5.362350009303672,1
20260808_141232,0.0,ihawk2,3.208559254863774,0.9393540468595527,2.2692052080042213,2.9209827842155653,0.9550103022949576,1.9659724819206077,4.339008287345818,1.3395636240361726,2.9994446633096454,1
20260808_141232,0.0,EqualXYZ,3.536810633764343,0.9393540468595527,2.59745658690479,2.932101127996225,0.9550103022949576,1.9770908257012674,4.594153511138398,1.3395636240361726,3.254589887102225,1
20260808_141232,0.0,LOOWeightedXYZ,3.0690405978249555,0.9393540468595527,2.1296865509654026,2.786009533035062,0.9550103022949576,1.8309992307401042,4.144980013131548,1.3395636240361726,2.805416389095375,1
20260808_141232,5.0,ihawk1,14.137677074696587,4.1419465657021695,9.995730508994416,5.874234187330766,0.7680582746428739,5.106175912687893,15.309491838595001,4.2125568086827485,11.096935029912252,1
20260808_141232,5.0,ihawk2,5.868760665895571,4.1419465657021695,1.7268141001934012,3.267931878635949,0.7680582746428739,2.499873603993075,6.717271061745841,4.2125568086827485,2.504714253063092,1
20260808_141232,5.0,EqualXYZ,9.63115556636444,4.1419465657021695,5.48920900066227,4.058322619601437,0.7680582746428739,3.2902643449585636,10.451274564773495,4.2125568086827485,6.238717756090747,1
20260808_141232,5.0,LOOWeightedXYZ,7.002882612359365,4.1419465657021695,2.860936046657195,3.3604902916206227,0.7680582746428739,2.5924320169777486,7.767448737041113,4.2125568086827485,3.554891928358365,1
