run_id,height_gt_mm,source,n_markers,xy_rmse_mm,z_rmse_mm,error3d_rmse_mm
20260808_141232,5.0,LOOWeightedXYZ,5,7.002882612359365,3.3604902916206227,7.767448737041113
20260808_141232,10.0,ihawk1,5,11.736905875996305,5.5779593073849565,12.99494477005728
20260808_141232,10.0,ihawk2,5,4.51787633118072,3.0073735407652835,5.427292341263559
20260808_141232,10.0,EqualXYZ,5,7.970424079002835,4.109934916765532,8.96767667900648
20260808_141232,10.0,LOOWeightedXYZ,5,5.636081651065968,3.32118760603493,6.541842515068865
20260808_141232,15.0,ihawk1,5,12.289738070368356,5.848351907518951,13.61032262190878
20260808_141232,15.0,ihawk2,5,5.843843167906155,3.8320876839910714,6.988232894579252
20260808_141232,15.0,EqualXYZ,5,8.781392263826403,4.56050118544965,9.894999805643147
20260808_141232,15.0,LOOWeightedXYZ,5,6.743020934901275,3.9961654150064816,7.838218506306824
20260808_141232,20.0,ihawk1,5,12.519296226477737,5.927546578246664,13.851663670605905
20260808_141232,20.0,ihawk2,5,5.57979094966208,3.7026304802264116,6.696531902039481
20260808_141232,20.0,EqualXYZ,5,8.714027311491417,4.719821624499669,9.9101457180262
20260808_141232,20.0,LOOWeightedXYZ,5,6.520491458701354,4.022318148442227,7.661321827875723
20260808_141232,25.0,ihawk1,5,8.032042187422922,4.679434658807512,9.295741521072461
20260808_141232,25.0,ihawk2,5,4.596881690633235,3.424123771982079,5.732010544611014
20260808_141232,25.0,EqualXYZ,5,5.822838659383556,3.954075208111259,7.038477165169451
20260808_141232,25.0,LOOWeightedXYZ,5,4.849931852156616,3.578726335522598,6.02736436223382
20260808_141232,30.0,ihawk1,5,10.8528900108952,6.560439567222585,12.681663491189493
20260808_141232,30.0,ihawk2,5,7.012610467989883,5.287531617437596,8.782636061067516
20260808_141232,30.0,EqualXYZ,5,6.903122858436941,4.431396125305316,8.203071182066235
20260808_141232,30.0,LOOWeightedXYZ,5,6.368421069062298,4.63735666385567,7.877935246032628
20260808_141232,35.0,ihawk1,5,16.66825277910443,8.542039422060114,18.72957789690285
20260808_141232,35.0,ihawk2,5,5.131687596888043,4.014741054148571,6.515547814567902
20260808_141232,35.0,EqualXYZ,5,10.676442917587446,6.191590696533551,12.341889187879787
20260808_141232,35.0,LOOWeightedXYZ,5,6.92487850010565,4.730500219570488,8.386392226016019
20260808_141232,40.0,ihawk1,5,10.181770750189715,5.610699630741559,11.625334659949463
20260808_141232,40.0,ihawk2,5,4.6745646421741105,3.5914131171264456,5.894896332568729
20260808_141232,40.0,EqualXYZ,5,7.268203431137311,4.548007655532664,8.573864633359912
20260808_141232,40.0,LOOWeightedXYZ,5,5.503553449400592,3.904269037116141,6.747771282771295
20260808_141232,45.0,ihawk1,5,14.963712882813391,6.550682643069727,16.334752717120956
20260808_141232,45.0,ihawk2,5,13.53768480213249,8.47165918587178,15.969906673598773
20260808_141232,45.0,EqualXYZ,5,10.284393670754104,4.679953685219237,11.299146855884485
20260808_141232,45.0,LOOWeightedXYZ,5,11.594931467030303,6.823927345520389,13.453936975549961
20260808_141232,50.0,ihawk1,5,16.05464307422439,7.716098031155004,17.812628471596643
20260808_141232,50.0,ihawk2,5,4.944286466197831,3.457884994109948,6.03348467241923
20260808_141232,50.0,EqualXYZ,5,10.233490523648845,5.354400794719898,11.549629265396693
20260808_141232,50.0,LOOWeightedXYZ,5,6.626596744946323,4.015118517881258,7.748094032261494
20260808_145501,0.0,ihawk1,5,8.592824369342713,5.151459471876333,10.018690799338723
20260808_145501,0.0,ihawk2,5,3.4956226320953037,3.169309640897846,4.718463858704964
20260808_145501,0.0,EqualXYZ,5,5.388994003533101,3.8699541366674874,6.634591275280303
20260808_145501,0.0,LOOWeightedXYZ,5,3.9114574976653285,3.336555356302026,5.141215945835192
20260808_145501,5.0,ihawk1,5,7.867512968015852,4.451582247748756,9.039598708480897
20260808_145501,5.0,ihawk2,5,3.5529560786373304,2.995105096407402,4.646950767465861
20260808_145501,5.0,EqualXYZ,5,5.117298316234187,3.5337742831845356,6.218866676640498
20260808_145501,5.0,LOOWeightedXYZ,5,3.892919615946758,3.1391346417904797,5.000898862755784
20260808_145501,10.0,ihawk1,5,4.469180010630344,3.9790208221536085,5.98382625671483
20260808_145501,10.0,ihawk2,5,1.8997023197142415,3.1717730244883766,3.69716283417431
20260808_145501,10.0,EqualXYZ,5,2.57982730338299,3.4801036270477206,4.332046879971528
20260808_145501,10.0,LOOWeightedXYZ,5,1.885297092748277,3.261963109009189,3.7675918638384913
20260808_145501,15.0,ihawk1,5,9.205902182434892,5.633753161110716,10.792951851689349
20260808_145501,15.0,ihawk2,5,3.1167999327588984,3.8682051085515474,4.967640544833147
